name,full_name,private,owner,description,contributors_url,pulls_url,created_at,contributors
pytorch,pytorch/pytorch,False,pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,30,30,2016-08-13T05:26:41Z,"['ezyang', 'malfet', 'zou3519', 'soumith', 'gchanan', 'jerryzh168', 'pytorchmergebot', 'apaszke', 'suo', 'zdevito', 'peterbell10', 'colesbury', 'Yangqing', 'Chillee', 'rohan-varma', 'smessmer', 'albanD', 'kshitij12345', 'vkuzo', 'ssnl', 'janeyx99', 'zasdfgbnm', 'swolchok', 'pietern', 'seemethere', 'bwasti', 'mrshenli', 'houseroad', 'bddppq', 'ngimel']"
opencv,opencv/opencv,False,opencv,Open Source Computer Vision Library,30,30,2012-07-19T09:40:17Z,"['alalek', 'vpisarev', 'ilya-lavrenov', 'mshabunin', 'asmorkalov', 'dkurt', 'terfendail', 'tomoaki0705', 'bitwangyaoyao', 'ozantonkal', 'akarsakov', 'edgarriba', 'berak', 'sturkmen72', 'paroj', 'sovrasov', 'TolyaTalamanov', 'l-bat', 'savuor', 'LaurentBerger', 'catree', 'rogday', 'pli2-intel', 'obilaniu', 'YashasSamaga', 'zihaomu', 'vrabaud', 'BloodAxe', 'cv3d', 'komakai']"
react-native,facebook/react-native,False,facebook,A framework for building native applications using React,30,30,2015-01-09T18:10:16Z,"['shergin', 'mdvacca', 'sammy-SC', 'JoshuaGross', 'javache', 'RSNara', 'hramos', 'davidaurelio', 'sahrens', 'yungsters', 'vjeux', 'cortinico', 'fkgozali', 'nicklockwood', 'TheSavior', 'tadeuzagallo', 'rickhanlonii', 'cpojer', 'janicduplessis', 'frantic', 'bestander', 'ide', 'martinbigio', 'mkonicek', 'mhorowitz', 'AaaChiuuu', 'astreet', 'dulmandakh', 'NickGerleman', 'andreicoman11']"
DALL-E,openai/DALL-E,False,openai,PyTorch package for the discrete VAE used for DALL·E.,1,30,2021-02-23T23:01:11Z,['adityaramesh']
yolov7,WongKinYiu/yolov7,False,WongKinYiu,Implementation of paper - YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors,29,30,2022-07-06T15:14:06Z,"['WongKinYiu', 'AlexeyAB', 'mkhoshbin72', 'triple-Mu', 'Linaom1214', 'taka-wang', 'spacewalk01', 'AK391', 'akashAD98', 'SashaAlderson', 'alexeysi', 'raymondben', 'DMLON', 'Dhiaeddine-Oussayed', 'HRan2004', 'Ian321', 'kadirnar', 'Kayce001', 'kivanctezoren', 'm-gangloff', 'rohanpatankar926', 'SamSamhuns', 'hungtrieu07', 'GreatV', 'jpkoponen', 'ksnzh', 'linghu8812', 'philipp-schmidt', 'superfast852']"
kubernetes,kubernetes/kubernetes,False,kubernetes,Production-Grade Container Scheduling and Management,30,30,2014-06-06T22:56:04Z,"['k8s-ci-robot', 'k8s-github-robot', 'liggitt', 'wojtek-t', 'brendandburns', 'thockin', 'smarterclayton', 'lavalamp', 'deads2k', 'mikedanese', 'sttts', 'caesarxuchao', 'gmarek', 'dchen1107', 'bgrant0607', 'dims', 'zmerlynn', 'yujuhong', 'derekwaynecarr', 'justinsb', 'pohly', 'erictune', 'jsafrane', 'vmarmol', 'nikhiljindal', 'j3ffml', 'ixdy', 'a-robinson', 'saad-ali', 'feiskyer']"
flutter,flutter/flutter,False,flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,30,30,2015-03-06T22:54:58Z,"['engine-flutter-autoroll', 'abarth', 'jonahwilliams', 'Hixie', 'jmagman', 'goderbauer', 'devoncarew', 'gspencergoog', 'cbracken', 'jason-simmons', 'dnfield', 'tvolkert', 'Piinks', 'yjbanov', 'xster', 'zanderso', 'christopherfujino', 'a14n', 'vlidholt', 'chunhtai', 'fluttergithubbot', 'DanTup', 'collinjackson', 'justinmc', 'chinmaygarde', 'aam', 'pq', 'darrenaustin', 'HansMuller', 'liyuqian']"
jenkins,jenkinsci/jenkins,False,jenkinsci,Jenkins automation server,30,30,2010-11-22T21:21:23Z,"['kohsuke', 'jglick', 'daniel-beck', 'oleg-nenashev', 'olivergondza', 'basil', 'stephenc', 'olamy', 'dependabot[bot]', 'tfennelly', 'jenkins-release-bot', 'timja', 'kutzi', 'Wadeck', 'batmat', 'ssogabe', 'ndeloof', 'jsoref', 'StefanSpieker', 'jeffret-b', 'jtnord', 'Vlatombe', 'vjuranek', 'MarkEWaite', 'renovate[bot]', 'NotMyFault', 'imod', 'abayer', 'janfaracik', 'fqueiruga']"
ansible,ansible/ansible,False,ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",30,30,2012-03-06T14:58:02Z,"['mpdehaan', 'bcoca', 'jimi-c', 'abadger', 'mattclay', 'sivel', 'dagwieers', 'Akasurde', 'jctanner', 'resmo', 'jborean93', 'felixfontein', 'caphrim007', 's-hertel', 'samdoran', 'gundalow', 'privateip', 'migumun', 'mscherer', 'nitzmahone', 'mkrizek', 'ganeshrn', 'Qalthos', 'dhozac', 'willthames', 'samccann', 'Andersson007', 'trishnaguha', 'chouseknecht', 'alikins']"
predictionio,apache/predictionio,False,apache,"PredictionIO, a machine learning server for developers and ML engineers.",30,30,2013-01-25T19:42:32Z,"['dszeto', 'k4hoo', 'hitgirl', 'ramaboo', 'EmergentOrder', 'simon-chan', 'yipjustin', 'pferrel', 'tom-chan', 'simon-chan-zz', 'takezoe', 'chanlee514', 'RuiqingQiu', 'marcovivero', 'shimamoto', 'mkorolyov', 'GaryZhangUIUC', 'marevol', 'jglidden', 'rolandobermudez', 'ZhouYii', 'mars', 'HyukjinKwon', 'minhtule', 'mastergaurang94', 'thomasrorystone', 'andreykl', 'Wei-1', 'artursoler', 'ohenak']"
